,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
170,4742.30769335,4327.30769245,4381.9230772,4439.35897478,4725.38461636,4356.79487201,4161.02564082,4077.30769196,4150.25641005,4512.435898,4213.71794865,4077.43589709,4201.53846147,4481.79487229
171,4748.07692412,4334.61538483,4389.35897464,4427.17948753,4710.25641123,4363.84615406,4161.92307672,4082.56410222,4148.33333313,4510.89743646,4204.61538455,4094.23076889,4225.64102558,4489.10256459
172,4765.25641137,4359.87179508,4409.35897471,4451.15384657,4685.51282142,4380.89743618,4162.05128185,4096.02564068,4157.43589723,4531.92307755,4213.33333327,4132.30769203,4253.33333334,4504.61538518
173,4760.89743701,4355.64102585,4411.53846189,4485.25641075,4698.84615482,4406.53846189,4159.48717928,4109.61538434,4166.79487159,4546.15384678,4231.6666666,4144.1025639,4252.30769231,4505.12820569
174,4755.64102669,4355.25641047,4410.00000035,4494.48717998,4657.17948802,4418.58974394,4160.12820492,4125.7692305,4177.94871781,4548.33333396,4237.43589744,4156.28205108,4261.41025641,4508.20512876
175,4769.61538573,4384.6153849,4426.15384651,4491.66666716,4598.71794949,4413.71794907,4162.05128185,4130.38461511,4190.64102551,4555.12820576,4237.30769231,4200.51282038,4299.10256418,4528.97435953
176,4771.2820524,4390.51282079,4432.1794876,4478.33333382,4666.66666757,4414.87179522,4160.64102544,4115.12820485,4185.76923063,4556.53846217,4247.17948718,4220.7692307,4315.64102578,4534.74359037
177,4763.33333445,4377.30769259,4429.10256445,4450.25641068,4747.69230874,4433.84615427,4156.66666646,4115.51282024,4178.58974345,4553.58974422,4268.84615392,4214.61538455,4307.82051296,4526.66666723
178,4768.84615496,4396.28205156,4441.53846196,4431.66666709,4673.07692398,4441.15384657,4157.69230749,4124.8717946,4186.02564089,4554.74359037,4277.94871802,4227.94871788,4315.2564104,4529.61538524
179,4773.46153958,4420.25641061,4450.76923119,4430.25641061,4623.84615461,4433.46153888,4157.43589723,4107.56410229,4184.61538448,4555.89743653,4269.87179495,4253.58974359,4333.5897438,4533.20512883
180,4759.35897547,4402.17948753,4437.56410298,4430.00000035,4701.53846252,4437.94871837,4152.3076921,4089.23076889,4174.48717935,4555.64102627,4267.17948725,4268.46153853,4340.3846156,4529.48718012
181,4746.02564207,4383.97435926,4429.74359009,4433.71794914,4707.56410354,4452.05128247,4150.38461518,4097.82051248,4179.2307691,4557.43589807,4275.38461546,4273.07692315,4346.41025662,4533.33333396
182,4747.94871899,4398.07692343,4438.20512863,4433.71794914,4648.20512904,4460.12820555,4156.79487159,4096.15384581,4178.07692294,4545.51282114,4271.53846161,4265.8974359,4353.84615406,4533.33333396
183,4750.64102669,4410.12820548,4442.82051324,4420.51282086,4654.23077007,4463.71794921,4160.89743569,4078.8461535,4170.12820499,4528.07692364,4268.07692315,4265.51282052,4358.07692329,4523.71794928
184,4742.94871899,4403.58974394,4436.79487222,4421.28205163,4661.28205219,4465.25641075,4162.43589723,4075.89743555,4177.17948704,4525.76923133,4276.28205136,4279.61538469,4358.84615406,4525.25641082
185,4738.71794976,4409.23076958,4433.46153888,4439.35897478,4665.51282142,4472.43589793,4162.94871774,4082.82051248,4186.79487166,4531.41025704,4286.28205136,4291.923077,4360.12820534,4549.23076986
186,4740.38461643,4427.9487183,4437.69230811,4445.76923119,4680.38461629,4482.17948767,4164.23076903,4075.51282017,4179.48717935,4536.02564165,4280.1282052,4300.89743604,4366.41025669,4569.74359044
187,4742.56410361,4441.02564145,4445.12820555,4443.84615427,4645.12820597,4484.74359023,4164.74358954,4066.66666625,4176.5384614,4538.58974422,4264.10256411,4315.89743604,4376.28205156,4571.53846224
188,4749.87179592,4449.35897478,4455.12820555,4455.12820555,4633.97435981,4491.28205177,4161.92307672,4077.56410222,4192.69230756,4547.43589807,4277.30769238,4348.71794893,4406.41025676,4580.0000007
189,4757.43589848,4456.15384657,4462.43589786,4471.4102569,4656.92307776,4501.02564159,4157.82051262,4081.02564068,4199.10256397,4551.41025704,4319.87179501,4386.02564131,4436.15384657,4596.41025718
190,4761.02564214,4466.02564152,4474.87179536,4466.66666716,4638.07692391,4503.20512876,4155.51282031,4067.17948677,4187.94871781,4543.20512883,4365.12820541,4414.61538497,4431.15384657,4600.51282128
191,4766.79487291,4467.3076928,4491.66666716,4456.79487222,4641.15384699,4511.66666723,4153.58974339,4071.15384581,4191.92307679,4549.10256473,4395.38461567,4450.12820555,4458.0769235,4612.94871872
192,4781.79487291,4474.61538511,4509.7435903,4488.33333382,4662.94871886,4532.43589807,4144.87179467,4093.46153812,4213.33333327,4575.12820583,4429.74359009,4491.02564152,4534.74359037,4645.38461622
193,4795.5128217,4503.20512876,4524.61538518,4519.7435903,4637.5641034,4542.17948781,4135.64102544,4099.10256376,4222.05128199,4585.64102634,4465.89743639,4514.35897492,4555.38461601,4658.97435981
194,4789.10256522,4504.35897492,4522.82051338,4492.82051331,4652.69230853,4536.02564165,4139.23076903,4083.20512786,4215.89743583,4572.94871865,4481.66666716,4531.28205191,4535.64102627,4652.5641034
195,4780.12820624,4478.33333382,4517.17948774,4469.23076972,4702.17948816,4548.33333396,4154.87179467,4079.7435894,4220.25641019,4577.94871865,4499.7435903,4550.64102627,4566.15384685,4664.35897527
196,4795.38461657,4491.4102569,4530.25641089,4486.53846203,4689.23077014,4578.84615454,4165.51282031,4093.46153812,4237.30769231,4607.05128282,4527.82051338,4551.28205191,4598.58974436,4685.25641116
197,4800.5128217,4505.12820569,4529.48718012,4474.48717998,4650.00000084,4579.48718019,4170.64102551,4089.61538427,4244.48717949,4613.84615461,4540.25641089,4542.05128268,4577.69230839,4681.41025732
198,4826.41025766,4531.15384678,4550.25641089,4492.17948767,4684.23077014,4606.41025718,4174.99999986,4118.33333306,4285.25641033,4642.05128289,4578.33333403,4602.82051359,4625.89743667,4721.28205226
199,4908.2051296,4623.07692385,4629.23077007,4586.15384685,4789.61538573,4702.69230867,4176.28205115,4202.69230763,4365.00000021,4720.38461636,4662.82051373,4714.61538559,4754.87179592,4818.20512939
200,4931.92307839,4657.30769315,4654.61538545,4602.69230846,4837.43589869,4745.64102669,4176.15384602,4233.4615384,4393.717949,4748.97436002,4687.05128296,4728.84615489,4774.61538573,4838.8461551
201,4862.56410389,4585.8974366,4585.51282121,4520.6410262,4767.56410368,4688.84615475,4178.07692294,4173.3333332,4351.41025662,4692.82051373,4626.41025718,4650.51282135,4683.97435988,4767.82051394
202,4824.48718067,4552.05128268,4543.20512883,4493.71794921,4705.64102662,4650.25641109,4178.97435884,4128.20512793,4319.74358989,4653.20512904,4598.20512897,4624.10256487,4657.17948802,4734.35897541
203,4825.38461664,4565.64102634,4545.38461601,4508.20512876,4712.30769328,4656.53846238,4177.4358973,4127.94871767,4321.1538463,4657.43589827,4604.10256487,4632.69230853,4682.6923086,4743.07692412
204,4790.51282163,4538.71794935,4517.94871851,4474.35897485,4683.20512911,4636.15384699,4176.66666653,4109.23076896,4308.71794886,4637.5641034,4566.28205198,4588.07692378,4634.61538545,4710.00000098
205,4756.79487284,4510.38461594,4484.87179536,4440.25641068,4618.97435974,4603.97435974,4176.92307679,4084.23076889,4288.71794879,4605.51282128,4520.51282107,4554.23076986,4587.05128275,4676.41025732
206,4743.58974464,4501.15384671,4470.64102613,4436.53846196,4607.69230846,4591.53846224,4177.69230756,4064.10256369,4275.1282052,4590.76923147,4504.87179543,4557.69230832,4596.92307769,4670.76923168
207,4590.38461608,4413.8461542,4341.15384637,4328.20512835,4554.61538524,4494.61538511,4178.3333332,3961.0256404,4216.92307686,4497.69230825,4370.00000028,4508.71794928,4507.05128261,4569.74359044
208,4584.1025648,4411.92307727,4329.23076937,4314.3589745,4517.56410312,4482.56410305,4178.20512807,3954.61538399,4218.4615384,4501.92307748,4354.10256431,4507.69230825,4495.25641075,4561.53846217
209,4576.41025711,4411.66666702,4319.74358989,4323.33333348,4500.6410262,4485.76923126,4177.4358973,3955.64102502,4227.17948711,4479.10256459,4354.74358996,4493.07692357,4460.76923119,4550.12820576
210,4561.53846217,4405.00000035,4306.41025655,4335.12820534,4524.10256466,4489.87179536,4176.79487166,3947.43589681,4226.15384609,4458.20512863,4348.97435919,4485.00000049,4451.2820517,4539.48718012
211,4575.64102634,4420.89743625,4318.4615386,4355.12820534,4551.6666673,4510.76923133,4175.89743576,3963.20512758,4246.53846154,4477.56410305,4362.6923079,4514.35897492,4497.17948774,4558.9743596
212,4631.02564186,4485.64102613,4364.87179508,4410.76923112,4575.8974366,4571.41025711,4177.30769217,4030.76923029,4313.97435912,4537.94871858,4425.76923112,4580.51282121,4578.33333403,4619.87179564
213,4665.76923168,4544.8717955,4382.69230797,4451.79487222,4601.02564179,4610.64102641,4178.07692294,4075.51282017,4355.12820534,4568.33333403,4451.79487222,4624.48718026,4611.53846231,4657.69230853
214,4640.51282135,4530.7692314,4340.25641047,4436.92307734,4609.48718026,4593.07692378,4175.76923063,4058.20512779,4337.82051303,4542.69230832,4419.10256445,4607.17948795,4573.33333403,4633.33333417
215,4597.05128282,4482.94871844,4295.1282052,4407.82051317,4572.56410326,4567.05128275,4176.02564089,4043.07692266,4325.2564104,4524.87179543,4393.84615413,4565.25641096,4540.7692314,4596.79487256
216,4572.43589813,4466.02564152,4276.66666674,4391.02564131,4507.69230825,4556.79487242,4177.4358973,4044.23076882,4317.69230784,4524.10256466,4380.89743618,4538.20512883,4530.64102627,4576.66666737
217,4549.10256473,4448.33333375,4254.23076923,4368.84615413,4488.84615434,4540.51282114,4178.84615371,4018.97435849,4279.48717956,4483.71794921,4345.89743611,4514.48718005,4503.84615441,4549.61538524
218,4523.20512876,4412.17948753,4232.82051275,4345.00000021,4517.30769287,4518.97435953,4178.46153833,3987.69230714,4247.94871795,4436.2820517,4314.48717963,4501.15384671,4480.76923126,4525.00000056
219,4499.48718005,4391.53846182,4215.25641019,4326.28205142,4496.02564152,4510.51282107,4178.58974345,3973.84615329,4243.46153847,4434.23076965,4298.33333341,4481.28205177,4465.76923126,4507.17948774
220,4469.23076972,4375.25641054,4187.56410243,4312.05128219,4435.89743632,4517.82051338,4178.97435884,3956.53846092,4232.94871788,4438.71794914,4261.7948718,4453.33333375,4453.71794914,4486.4102569
221,4446.66666709,4353.84615406,4168.58974345,4305.76923091,4408.07692343,4520.89743646,4179.35897422,3944.87179425,4221.6666666,4412.9487183,4239.87179488,4440.25641068,4442.82051324,4472.94871844
222,4439.35897478,4347.30769252,4162.56410236,4292.69230777,4384.10256438,4491.02564152,4178.58974345,3943.33333271,4224.48717942,4386.9230772,4250.38461539,4425.76923112,4416.02564138,4461.2820517
223,4413.58974394,4329.3589745,4138.84615364,4261.28205129,4351.41025662,4442.69230811,4179.35897422,3923.07692239,4218.71794865,4365.38461567,4228.4615384,4388.58974387,4370.51282079,4431.66666709
224,4367.56410285,4287.30769238,4100.6410253,4233.71794865,4349.10256431,4412.82051317,4179.61538448,3892.17948642,4206.53846147,4331.28205142,4173.58974345,4346.79487201,4332.56410278,4392.69230797
225,4341.41025662,4257.94871795,4077.43589709,4217.69230763,4314.74358989,4385.12820541,4178.71794858,3876.92307616,4203.84615378,4311.02564117,4146.41025621,4328.84615399,4317.43589758,4367.8205131
226,4332.30769252,4252.6923077,4069.48717907,4207.94871788,4231.79487173,4340.89743611,4179.99999986,3873.07692232,4198.71794858,4304.23076937,4130.51282024,4320.64102578,4311.66666681,4356.02564124
227,4318.07692322,4248.46153847,4063.20512779,4203.07692301,4224.74358968,4302.69230784,4179.61538448,3864.74358891,4195.12820499,4286.15384623,4096.53846119,4299.87179501,4298.20512828,4343.71794893
228,4307.17948732,4238.46153847,4057.82051241,4191.41025628,4284.87179495,4284.48717956,4177.56410243,3858.07692225,4207.17948711,4274.2307693,4094.99999966,4282.94871802,4286.79487187,4335.3846156
229,4305.64102578,4235.0,4058.46153805,4181.5384614,4290.89743597,4269.35897443,4178.07692294,3860.89743507,4212.69230763,4285.51282059,4112.82051255,4285.38461546,4302.69230784,4334.61538483
230,4307.30769245,4249.10256411,4068.20512779,4198.46153833,4261.02564103,4262.94871795,4178.84615371,3873.4615377,4202.69230763,4289.87179495,4103.20512793,4290.25641033,4319.48717963,4338.5897438
231,4322.43589758,4276.66666674,4087.30769196,4228.4615384,4281.923077,4295.89743597,4177.82051269,3902.43589668,4213.20512814,4281.15384623,4117.82051255,4294.61538469,4320.2564104,4352.82051303
232,4350.64102585,4307.82051296,4115.51282024,4252.05128206,4331.41025655,4343.33333355,4178.71794858,3937.30769162,4246.41025641,4303.84615399,4171.92307679,4319.3589745,4343.71794893,4383.84615413
