,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
160,3852.56410173,3882.5641018,3865.51281968,3869.10256327,3849.99999917,3831.53846064,4186.92307679,3834.48717859,3812.30769141,3857.43589661,3850.51281968,3823.07692218,3870.25640943,3849.48717866
161,3793.58974262,3811.28205038,3803.07692211,3797.05128108,3790.25640929,3792.43589647,4185.89743576,3776.6666657,3757.4358964,3802.30769134,3787.69230672,3767.05128101,3814.1025632,3794.23076826
162,3754.23076819,3783.33333236,3777.17948621,3774.99999903,3761.66666563,3772.17948614,4186.02564089,3748.07692204,3718.71794761,3772.56410153,3747.05128101,3732.05128094,3781.79487083,3755.38461435
163,3769.74358871,3812.56410166,3796.79487083,3801.6666657,3779.23076826,3773.07692204,4184.87179474,3760.38461435,3729.48717838,3786.92307595,3767.4358964,3742.69230665,3791.15384518,3756.79487076
164,3774.35897339,3803.97435801,3786.41025544,3783.97435801,3777.05128108,3764.35897332,4182.56410243,3754.48717845,3725.64102453,3784.61538365,3770.51281947,3734.48717838,3785.64102467,3752.30769127
165,3804.10256313,3824.23076833,3806.28205031,3801.41025544,3799.48717852,3789.8717939,4184.35897422,3793.84615288,3757.56410153,3824.48717859,3793.46153749,3755.12820409,3817.43589654,3789.23076826
166,3821.92307602,3849.35897353,3826.15384525,3825.64102474,3819.1025632,3815.64102474,4185.12820499,3820.12820423,3782.69230672,3847.94871712,3812.43589654,3773.84615281,3840.76922994,3808.97435807
167,3877.5641018,3899.10256334,3882.94871719,3873.84615309,3885.64102488,3872.82051206,4181.02564089,3864.99999917,3827.82051192,3900.89743514,3864.48717866,3828.20512731,3889.48717873,3856.53846071
168,3912.692307,3928.07692239,3922.56410187,3908.20512751,3919.35897367,3906.92307623,4179.48717935,3893.20512744,3851.53846071,3928.84615316,3890.64102488,3859.87179404,3916.7948711,3886.28205052
169,3950.76923015,3989.10256355,3969.74358912,3972.30769176,3948.33333271,3967.94871733,4180.51282038,3951.41025579,3913.71794803,3970.38461476,3946.15384553,3911.28205059,3976.92307637,3939.99999938
170,3926.7948711,3986.79487124,3953.46153784,3961.0256404,3938.58974297,3966.41025579,4181.15384602,3948.20512758,3916.28205059,3960.12820451,3937.17948649,3903.84615309,3966.79487117,3935.51281982
171,4045.25640984,4094.23076889,4070.38461504,4060.25640984,4053.97435856,4062.30769189,4178.07692294,4053.20512779,4017.94871747,4072.43589709,4037.30769189,4009.487179,4062.82051241,4044.48717907
172,4110.38461511,4134.8717946,4127.30769203,4110.51282024,4088.33333299,4104.99999973,4176.02564089,4098.71794837,4062.56410215,4122.17948691,4099.99999966,4065.64102523,4124.99999973,4107.82051255
173,4148.33333313,4169.61538448,4158.84615364,4147.3076921,4138.07692287,4142.05128185,4174.74358961,4135.64102544,4105.12820485,4155.89743569,4151.53846133,4106.92307665,4172.30769217,4141.92307672
174,4178.46153833,4207.69230763,4188.20512807,4176.15384602,4187.17948704,4158.07692287,4173.71794858,4168.3333332,4125.25640998,4197.69230756,4167.43589723,4136.53846133,4189.35897422,4161.92307672
175,4250.12820513,4268.58974366,4262.30769231,4252.30769231,4248.46153847,4235.0,4170.51282038,4240.76923077,4183.71794858,4275.38461546,4229.99999993,4217.5641025,4266.15384616,4251.28205129
176,4208.84615378,4225.64102558,4227.69230763,4223.58974352,4216.15384609,4227.30769224,4172.56410243,4215.7692307,4168.97435884,4246.15384616,4211.41025634,4187.56410243,4253.46153847,4227.94871788
177,4140.12820492,4176.02564089,4162.56410236,4155.38461518,4159.74358954,4147.82051262,4176.41025628,4141.02564082,4103.20512793,4172.4358973,4145.25641005,4103.20512793,4171.15384602,4127.69230742
178,4113.0769228,4139.87179467,4125.7692305,4110.51282024,4110.64102537,4064.48717907,4175.76923063,4095.76923043,4051.66666625,4134.99999973,4091.15384581,4044.87179446,4117.94871767,4070.76923043
179,4056.79487138,4072.94871761,4064.87179446,4054.74358933,4046.66666625,4018.97435849,4176.28205115,4039.99999959,3999.87179432,4073.46153812,4029.10256362,3989.87179432,4065.64102523,4030.76923029
180,4056.79487138,4100.51282017,4068.84615343,4074.61538427,4057.94871754,4061.92307651,4180.38461525,4053.46153805,4024.10256362,4077.56410222,4052.30769189,4016.15384567,4083.20512786,4050.12820472
181,4062.69230728,4114.99999973,4079.61538427,4085.12820478,4070.51282017,4064.74358933,4181.28205115,4062.69230728,4030.51282003,4084.99999966,4066.15384574,4031.41025593,4092.82051248,4054.35897395
182,4074.23076889,4092.69230735,4083.20512786,4073.20512786,4088.20512786,4049.74358933,4179.2307691,4072.43589709,4041.28205087,4082.43589709,4060.25640984,4027.56410208,4093.71794837,4062.05128164
183,4036.15384567,4047.56410215,4037.43589702,4026.66666618,4041.410256,4017.56410208,4182.69230756,4025.89743541,4001.28205073,4028.33333285,4017.69230721,3987.9487174,4054.87179446,4034.10256362
184,4077.82051248,4113.71794844,4083.07692273,4082.94871761,4036.15384567,4065.89743548,4183.07692294,4054.48717907,4022.43589695,4075.76923043,4068.20512779,4030.12820465,4102.82051255,4065.64102523
185,4080.6410253,4118.9743587,4089.7435894,4090.51282017,4030.89743541,4059.48717907,4178.58974345,4048.97435856,4007.94871747,4086.79487145,4071.79487145,4022.43589695,4091.53846119,4037.05128164
186,4084.87179453,4102.30769196,4089.61538427,4083.8461535,4091.53846119,4076.41025607,4176.66666653,4058.84615343,4026.02564054,4088.97435863,4069.87179453,4034.61538413,4089.10256376,4050.25640984
187,4062.94871754,4083.20512786,4078.07692273,4066.28205087,4102.94871767,4072.94871761,4180.51282038,4052.82051241,4022.94871747,4078.20512786,4044.35897395,4029.99999952,4084.7435894,4059.10256369
